"Age (years b2k)","d18O GISP2 (‰)","Age BP (SEAD)"
14550,-35.78,14500
14600,-35.78,14550
14600,-36.53,14550
14650,-36.53,14600
14650,-37.43,14600
14700,-37.43,14650
14700,-39.73,14650
14750,-39.73,14700
14750,-40.16,14700
14800,-40.16,14750
14800,-39.07,14750
14850,-39.07,14800
14850,-40.18,14800
14900,-40.18,14850
14900,-39.02,14850
14950,-39.02,14900
14950,-39.94,14900
15000,-39.94,14950
15000,-40.15,14950
15050,-40.15,15000
15050,-39.66,15000
15100,-39.66,15050
15100,-37.57,15050
15150,-37.57,15100
15150,-38.68,15100
15200,-38.68,15150
15200,-38.8,15150
15250,-38.8,15200
15250,-38.84,15200
15300,-38.84,15250
15300,-39.99,15250
15350,-39.99,15300
15350,-38.95,15300
15400,-38.95,15350
15400,-40.63,15350
15450,-40.63,15400
15450,-39.05,15400
15500,-39.05,15450
15500,-39.26,15450
15550,-39.26,15500
15550,-39.72,15500
15600,-39.72,15550
15600,-39.39,15550
15650,-39.39,15600
15650,-38.84,15600
15700,-38.84,15650
15700,-39.88,15650
15750,-39.88,15700
15750,-40.68,15700
15800,-40.68,15750
15800,-41.62,15750
15850,-41.62,15800
15850,-39.4,15800
15900,-39.4,15850
15900,-39.96,15850
15950,-39.96,15900
15950,-41.08,15900
16000,-41.08,15950
16000,-40.4,15950
16050,-40.4,16000
16050,-41.07,16000
16100,-41.07,16050
16100,-40.94,16050
16150,-40.94,16100
16150,-40.34,16100
16200,-40.34,16150
16200,-38.72,16150
16250,-38.72,16200
16250,-40.4,16200
16300,-40.4,16250
16300,-40.64,16250
16350,-40.64,16300
16350,-40.39,16300
16400,-40.39,16350
16400,-39.34,16350
16450,-39.34,16400
16450,-40.27,16400
16500,-40.27,16450
16500,-39.81,16450
16550,-39.81,16500
16550,-39.55,16500
16600,-39.55,16550
16600,-40.51,16550
16650,-40.51,16600
16650,-39.5,16600
16700,-39.5,16650
16700,-41.25,16650
16750,-41.25,16700
16750,-40.29,16700
16800,-40.29,16750
16800,-40.49,16750
16850,-40.49,16800
16850,-40.45,16800
16900,-40.45,16850
16900,-41.21,16850
16950,-41.21,16900
16950,-41.24,16900
17000,-41.24,16950
17000,-40.43,16950
17050,-40.43,17000
17050,-39.23,17000
17100,-39.23,17050
17100,-39.58,17050
17150,-39.58,17100
17150,-40.93,17100
17200,-40.93,17150
17200,-40.84,17150
17250,-40.84,17200
17250,-40.82,17200
17300,-40.82,17250
17300,-41.21,17250
17350,-41.21,17300
17350,-40.86,17300
17400,-40.86,17350
17400,-41.3,17350
17450,-41.3,17400
17450,-40.84,17400
17500,-40.84,17450
17500,-39.94,17450
17550,-39.94,17500
17550,-40.43,17500
17600,-40.43,17550
17600,-40.45,17550
17650,-40.45,17600
17650,-39.85,17600
17700,-39.85,17650
17700,-40.96,17650
17750,-40.96,17700
17750,-40.12,17700
17800,-40.12,17750
17800,-40.22,17750
17850,-40.22,17800
17850,-39.72,17800
17900,-39.72,17850
17900,-40.64,17850
17950,-40.64,17900
17950,-40.66,17900
18000,-40.66,17950
18000,-40.8,17950
18050,-40.8,18000
18050,-40.25,18000
18100,-40.25,18050
18100,-39.11,18050
18150,-39.11,18100
18150,-38.81,18100
18200,-38.81,18150
18200,-40.19,18150
18250,-40.19,18200
18250,-40.6,18200
18300,-40.6,18250
18300,-40.19,18250
18350,-40.19,18300
18350,-39.14,18300
18400,-39.14,18350
18400,-39.97,18350
18450,-39.97,18400
18450,-39.93,18400
18500,-39.93,18450
18500,-39.53,18450
18550,-39.53,18500
18550,-39.66,18500
18600,-39.66,18550
18600,-40.04,18550
18650,-40.04,18600
18650,-39.47,18600
18700,-39.47,18650
18700,-39.3,18650
18750,-39.3,18700
18750,-40.55,18700
18800,-40.55,18750
18800,-39.24,18750
18850,-39.24,18800
18850,-40.25,18800
18900,-40.25,18850
18900,-39.29,18850
18950,-39.29,18900
18950,-39.24,18900
19000,-39.24,18950
19000,-39.21,18950
19050,-39.21,19000
19050,-40.17,19000
19100,-40.17,19050
19100,-39.04,19050
19150,-39.04,19100
19150,-38.71,19100
19200,-38.71,19150
19200,-39.42,19150
19250,-39.42,19200
19250,-39.52,19200
19300,-39.52,19250
19300,-38.27,19250
19350,-38.27,19300
19350,-38.89,19300
19400,-38.89,19350
19400,-40.24,19350
19450,-40.24,19400
19450,-39.6,19400
19500,-39.6,19450
19500,-40.35,19450
19550,-40.35,19500
19550,-39.98,19500
19600,-39.98,19550
19600,-39.23,19550
19650,-39.23,19600
19650,-39.25,19600
19700,-39.25,19650
19700,-39.89,19650
19750,-39.89,19700
19750,-40.67,19700
19800,-40.67,19750
19800,-40.08,19750
19850,-40.08,19800
19850,-39.3,19800
19900,-39.3,19850
19900,-39.64,19850
19950,-39.64,19900
19950,-40.78,19900
20000,-40.78,19950
20000,-38.99,19950
20050,-38.99,20000
20050,-39.93,20000
20100,-39.93,20050
20100,-39.95,20050
20150,-39.95,20100
20150,-39.69,20100
20200,-39.69,20150
20200,-39.96,20150
20250,-39.96,20200
20250,-39.82,20200
20300,-39.82,20250
20300,-40.64,20250
20350,-40.64,20300
20350,-41.54,20300
20400,-41.54,20350
20400,-40.35,20350
20450,-40.35,20400
20450,-40.38,20400
20500,-40.38,20450
20500,-39.91,20450
20550,-39.91,20500
20550,-39.76,20500
20600,-39.76,20550
20600,-38.71,20550
20650,-38.71,20600
20650,-38.98,20600
20700,-38.98,20650
20700,-39.55,20650
20750,-39.55,20700
20750,-40.03,20700
20800,-40.03,20750
20800,-40,20750
20850,-40,20800
20850,-39.78,20800
20900,-39.78,20850
20900,-39.19,20850
20950,-39.19,20900
20950,-41.02,20900
21000,-41.02,20950
21000,-40.66,20950
21050,-40.66,21000
21050,-41.19,21000
21100,-41.19,21050
21100,-40.57,21050
21150,-40.57,21100
21150,-41.62,21100
21200,-41.62,21150
21200,-40.63,21150
21250,-40.63,21200
21250,-41,21200
21300,-41,21250
21300,-41.37,21250
21350,-41.37,21300
21350,-41.37,21300
21400,-41.37,21350
21400,-41.59,21350
21450,-41.59,21400
21450,-41.41,21400
21500,-41.41,21450
21500,-41.4,21450
21550,-41.4,21500
21550,-41.36,21500
21600,-41.36,21550
21600,-41.54,21550
21650,-41.54,21600
21650,-41.07,21600
21700,-41.07,21650
21700,-41.7,21650
21750,-41.7,21700
21750,-40.27,21700
21800,-40.27,21750
21800,-40.92,21750
21850,-40.92,21800
21850,-41.02,21800
21900,-41.02,21850
21900,-41.01,21850
21950,-41.01,21900
21950,-40.4,21900
22000,-40.4,21950
22000,-41.28,21950
22050,-41.28,22000
22050,"NaN",22000
22100,"NaN",22050
22100,-41.3,22050
22150,-41.3,22100
22150,-40.14,22100
22200,-40.14,22150
22200,-40.6,22150
22250,-40.6,22200
22250,-39.93,22200
22300,-39.93,22250
22300,-40.05,22250
22350,-40.05,22300
22350,-40.94,22300
22400,-40.94,22350
22400,-40.99,22350
22450,-40.99,22400
22450,-40.98,22400
22500,-40.98,22450
22500,-39.43,22450
22550,-39.43,22500
22550,-40.8,22500
22600,-40.8,22550
22600,-40.86,22550
22650,-40.86,22600
22650,-40.85,22600
22700,-40.85,22650
22700,-40.53,22650
22750,-40.53,22700
22750,-41.07,22700
22800,-41.07,22750
22800,-40.38,22750
22850,-40.38,22800
22850,-40.86,22800
22900,-40.86,22850
22900,-38.68,22850
22950,-38.68,22900
22950,-39.5,22900
23000,-39.5,22950
23000,-40.21,22950
23050,-40.21,23000
23050,-40.3,23000
23100,-40.3,23050
23100,-40.26,23050
23150,-40.26,23100
23150,-40.45,23100
23200,-40.45,23150
23200,-40.52,23150
23250,-40.52,23200
23250,-39.03,23200
23300,-39.03,23250
23300,-38.34,23250
23350,-38.34,23300
23350,-39.61,23300
23400,-39.61,23350
23400,-40.76,23350
23450,-40.76,23400
23450,-41.99,23400
23500,-41.99,23450
23500,-40.96,23450
