sample_identifier_short,physical_sample_id,sample_identifier,latitude_dd,longitude_dd,sampling_context,Age_BP_From,Age_BP_To,region
COUN000188|839,839,Leicester: Early Holocene|COUN000188|s1|839,52.633335,-1.1166667,Stratigraphic sequence,11761,11183,Nor
COUN000195|863,863,Little Stretton|COUN000195|s12|863,52.523888,-2.8180556,Stratigraphic sequence,7000,5000,Nor
COUN000195|864,864,Little Stretton|COUN000195|s11|864,52.523888,-2.8180556,Stratigraphic sequence,7000,5000,Nor
COUN000195|865,865,Little Stretton|COUN000195|s10|865,52.523888,-2.8180556,Stratigraphic sequence,7000,5000,Nor
COUN000195|866,866,Little Stretton|COUN000195|s9|866,52.523888,-2.8180556,Stratigraphic sequence,7000,5000,Nor
COUN000195|867,867,Little Stretton|COUN000195|s8|867,52.523888,-2.8180556,Stratigraphic sequence,7000,5000,Nor
COUN000195|868,868,Little Stretton|COUN000195|s7|868,52.523888,-2.8180556,Stratigraphic sequence,7000,5000,Nor
COUN000195|869,869,Little Stretton|COUN000195|s6|869,52.523888,-2.8180556,Stratigraphic sequence,7000,5000,Nor
COUN000195|870,870,Little Stretton|COUN000195|s5|870,52.523888,-2.8180556,Stratigraphic sequence,7000,5000,Nor
COUN000195|871,871,Little Stretton|COUN000195|s4|871,52.523888,-2.8180556,Stratigraphic sequence,7000,5000,Nor
COUN000195|872,872,Little Stretton|COUN000195|s3|872,52.523888,-2.8180556,Stratigraphic sequence,7000,5000,Nor
COUN000207|939,939,Messingham|COUN000207|s2|939,53.523888,-0.6166667,Stratigraphic sequence,12530,11507,Nor
COUN000207|940,940,Messingham|COUN000207|s3|940,53.523888,-0.6166667,Stratigraphic sequence,12977,11621,Nor
COUN000216|979,979,Mingies Ditch 1|COUN000216|G|979,51.750557,-1.435,Stratigraphic sequence,13033,12576,Nor
COUN000216|980,980,Mingies Ditch 1|COUN000216|TS2|980,51.750557,-1.435,Stratigraphic sequence,11072,10272,Nor
COUN000216|981,981,Mingies Ditch 1|COUN000216|W|981,51.750557,-1.435,Stratigraphic sequence,8547,8205,Nor
COUN000216|982,982,Mingies Ditch 1|COUN000216|O|982,51.750557,-1.435,Stratigraphic sequence,7576,7309,Nor
COUN000216|983,983,Mingies Ditch 1|COUN000216|U|983,51.750557,-1.435,Stratigraphic sequence,2849,2199,Nor
COUN000226|1055,1055,New Shide Bridge|COUN000226|peat_L_7|1055,50.692223,-1.2863889,Stratigraphic sequence,4959,4522,Nor
COUN000229|1062,1062,North Ferriby|COUN000229|Boat 2|1062,53.71472,-0.5013889,Stratigraphic sequence,2949,2599,Nor
COUN000229|1063,1063,North Ferriby|COUN000229|S0-50|1063,53.71472,-0.5013889,Stratigraphic sequence,2949,2599,Nor
COUN000229|1064,1064,North Ferriby|COUN000229|S50-100|1064,53.71472,-0.5013889,Stratigraphic sequence,2949,2599,Nor
COUN000229|1065,1065,North Ferriby|COUN000229|S100-150|1065,53.71472,-0.5013889,Stratigraphic sequence,2949,2599,Nor
COUN000231|1067,1067,Northmoor LG|COUN000231|S1|1067,50.835,-1.4063889,Stratigraphic sequence,13305,12873,Nor
COUN000232|6565,6565,"Notsel, Mark Valley|COUN000232|LG3|6565",51.55417,4.769444,Stratigraphic sequence,12977,12722,Nor
COUN000232|6567,6567,"Notsel, Mark Valley|COUN000232|LG5|6567",51.55417,4.769444,Stratigraphic sequence,12977,12722,Nor
COUN000232|6569,6569,"Notsel, Mark Valley|COUN000232|LG7|6569",51.55417,4.769444,Stratigraphic sequence,12977,12722,Nor
COUN000232|6595,6595,"Notsel, Mark Valley|COUN000232|LG33|6595",51.55417,4.769444,Stratigraphic sequence,13706,13383,Nor
COUN000232|6596,6596,"Notsel, Mark Valley|COUN000232|LG34|6596",51.55417,4.769444,Stratigraphic sequence,13706,13383,Nor
COUN000232|6603,6603,"Notsel, Mark Valley|COUN000232|LG41|6603",51.55417,4.769444,Stratigraphic sequence,15210,14648,Nor
COUN000232|6605,6605,"Notsel, Mark Valley|COUN000232|LG43|6605",51.55417,4.769444,Stratigraphic sequence,15210,14648,Nor
