sample,trait,w,id,latitude_dd,longitude_dd,type,base,top,age,age_range,ageBin,layer
COUN001345|6313,He,0.052631579,6313,52.634342,1.304786,sequences,110,110,110,0,500,1
COUN001345|6313,IRu,0.052631579,6313,52.634342,1.304786,sequences,110,110,110,0,500,1
COUN001345|6313,ISt,0.052631579,6313,52.634342,1.304786,sequences,110,110,110,0,500,1
COUN001345|6313,Me,0.105263158,6313,52.634342,1.304786,sequences,110,110,110,0,500,1
COUN001345|6313,Pa,0.263157895,6313,52.634342,1.304786,sequences,110,110,110,0,500,1
COUN001345|6313,St,0.052631579,6313,52.634342,1.304786,sequences,110,110,110,0,500,1
COUN001345|6313,We,0.105263158,6313,52.634342,1.304786,sequences,110,110,110,0,500,1
COUN001345|6313,Wo,0.105263158,6313,52.634342,1.304786,sequences,110,110,110,0,500,1
COUN001491|7182,Aq,0.066666667,7182,51.54615,-0.01269,sequences,550,351,450.5,199,500,1
COUN001491|7182,Di,0.4,7182,51.54615,-0.01269,sequences,550,351,450.5,199,500,1
COUN001491|7182,Du,0.2,7182,51.54615,-0.01269,sequences,550,351,450.5,199,500,1
COUN001491|7182,Ha,0.066666667,7182,51.54615,-0.01269,sequences,550,351,450.5,199,500,1
COUN001491|7182,He,0.066666667,7182,51.54615,-0.01269,sequences,550,351,450.5,199,500,1
COUN001491|7182,Me,0.133333333,7182,51.54615,-0.01269,sequences,550,351,450.5,199,500,1
COUN001491|7182,Pa,0.266666667,7182,51.54615,-0.01269,sequences,550,351,450.5,199,500,1
COUN001491|7182,Sa,0.266666667,7182,51.54615,-0.01269,sequences,550,351,450.5,199,500,1
COUN001491|7182,We,0.266666667,7182,51.54615,-0.01269,sequences,550,351,450.5,199,500,1
COUN001491|7182,Wo,0.133333333,7182,51.54615,-0.01269,sequences,550,351,450.5,199,500,1
COUN001491|7183,Aq,0.2,7183,51.54615,-0.01269,sequences,550,351,450.5,199,500,1
COUN001491|7183,Ca,0.08,7183,51.54615,-0.01269,sequences,550,351,450.5,199,500,1
COUN001491|7183,Di,0.16,7183,51.54615,-0.01269,sequences,550,351,450.5,199,500,1
COUN001491|7183,Dr,0.04,7183,51.54615,-0.01269,sequences,550,351,450.5,199,500,1
COUN001491|7183,Du,0.2,7183,51.54615,-0.01269,sequences,550,351,450.5,199,500,1
COUN001491|7183,Ge,0.04,7183,51.54615,-0.01269,sequences,550,351,450.5,199,500,1
COUN001491|7183,Ha,0.04,7183,51.54615,-0.01269,sequences,550,351,450.5,199,500,1
COUN001491|7183,IDe,0.04,7183,51.54615,-0.01269,sequences,550,351,450.5,199,500,1
COUN001491|7183,IDu,0.08,7183,51.54615,-0.01269,sequences,550,351,450.5,199,500,1
COUN001491|7183,IRu,0.04,7183,51.54615,-0.01269,sequences,550,351,450.5,199,500,1
COUN001491|7183,ISt,0.08,7183,51.54615,-0.01269,sequences,550,351,450.5,199,500,1
COUN001491|7183,Pa,0.24,7183,51.54615,-0.01269,sequences,550,351,450.5,199,500,1
COUN001491|7183,Sa,0.12,7183,51.54615,-0.01269,sequences,550,351,450.5,199,500,1
COUN001491|7183,We,0.28,7183,51.54615,-0.01269,sequences,550,351,450.5,199,500,1
COUN001491|7183,Wo,0.2,7183,51.54615,-0.01269,sequences,550,351,450.5,199,500,1
COUN001491|7184,Aq,0.090909091,7184,51.54615,-0.01269,sequences,550,351,450.5,199,500,1
COUN001491|7184,Ca,0.090909091,7184,51.54615,-0.01269,sequences,550,351,450.5,199,500,1
COUN001491|7184,Di,0.272727273,7184,51.54615,-0.01269,sequences,550,351,450.5,199,500,1
COUN001491|7184,Du,0.272727273,7184,51.54615,-0.01269,sequences,550,351,450.5,199,500,1
COUN001491|7184,IDe,0.090909091,7184,51.54615,-0.01269,sequences,550,351,450.5,199,500,1
COUN001491|7184,ISt,0.090909091,7184,51.54615,-0.01269,sequences,550,351,450.5,199,500,1
COUN001491|7184,Me,0.090909091,7184,51.54615,-0.01269,sequences,550,351,450.5,199,500,1
COUN001491|7184,Pa,0.363636364,7184,51.54615,-0.01269,sequences,550,351,450.5,199,500,1
COUN001491|7184,Sa,0.181818182,7184,51.54615,-0.01269,sequences,550,351,450.5,199,500,1
COUN001491|7184,We,0.272727273,7184,51.54615,-0.01269,sequences,550,351,450.5,199,500,1
COUN001491|7184,Wo,0.181818182,7184,51.54615,-0.01269,sequences,550,351,450.5,199,500,1
COUN001491|7185,Aq,0.214285714,7185,51.54615,-0.01269,sequences,550,351,450.5,199,500,1
COUN001491|7185,Ca,0.071428571,7185,51.54615,-0.01269,sequences,550,351,450.5,199,500,1
COUN001491|7185,Di,0.214285714,7185,51.54615,-0.01269,sequences,550,351,450.5,199,500,1
COUN001491|7185,Dr,0.071428571,7185,51.54615,-0.01269,sequences,550,351,450.5,199,500,1
COUN001491|7185,Du,0.285714286,7185,51.54615,-0.01269,sequences,550,351,450.5,199,500,1
COUN001491|7185,Ge,0.071428571,7185,51.54615,-0.01269,sequences,550,351,450.5,199,500,1
COUN001491|7185,Ha,0.071428571,7185,51.54615,-0.01269,sequences,550,351,450.5,199,500,1
COUN001491|7185,IDe,0.071428571,7185,51.54615,-0.01269,sequences,550,351,450.5,199,500,1
COUN001491|7185,IRu,0.071428571,7185,51.54615,-0.01269,sequences,550,351,450.5,199,500,1
COUN001491|7185,ISt,0.071428571,7185,51.54615,-0.01269,sequences,550,351,450.5,199,500,1
COUN001491|7185,Pa,0.214285714,7185,51.54615,-0.01269,sequences,550,351,450.5,199,500,1
COUN001491|7185,Sa,0.142857143,7185,51.54615,-0.01269,sequences,550,351,450.5,199,500,1
COUN001491|7185,We,0.142857143,7185,51.54615,-0.01269,sequences,550,351,450.5,199,500,1
COUN001491|7185,Wo,0.142857143,7185,51.54615,-0.01269,sequences,550,351,450.5,199,500,1
COUN001491|7186,Di,0.4,7186,51.54615,-0.01269,sequences,450,151,300.5,299,500,1
COUN001491|7186,Du,0.6,7186,51.54615,-0.01269,sequences,450,151,300.5,299,500,1
COUN001491|7186,Pa,0.6,7186,51.54615,-0.01269,sequences,450,151,300.5,299,500,1
COUN001491|7186,Sa,0.4,7186,51.54615,-0.01269,sequences,450,151,300.5,299,500,1
COUN001600|7717,We,1,7717,54.202194,-0.598799,sequences,347,347,347,0,500,1
COUN000625|2875,Aq,0.5,2875,53.746113,-0.3638889,sequences,1550,400,975,1150,1000,2
COUN000625|2875,Ge,0.5,2875,53.746113,-0.3638889,sequences,1550,400,975,1150,1000,2
COUN000625|2875,Ha,0.5,2875,53.746113,-0.3638889,sequences,1550,400,975,1150,1000,2
COUN000625|2875,St,0.5,2875,53.746113,-0.3638889,sequences,1550,400,975,1150,1000,2
COUN000821|3953,Aq,0.285714286,3953,53.783333,-7.4166665,sequences,1550,400,975,1150,1000,2
COUN000821|3953,Ca,0.142857143,3953,53.783333,-7.4166665,sequences,1550,400,975,1150,1000,2
COUN000821|3953,Du,0.142857143,3953,53.783333,-7.4166665,sequences,1550,400,975,1150,1000,2
COUN000821|3953,Ge,0.428571429,3953,53.783333,-7.4166665,sequences,1550,400,975,1150,1000,2
COUN000821|3953,IRu,0.142857143,3953,53.783333,-7.4166665,sequences,1550,400,975,1150,1000,2
COUN000821|3953,Pa,0.142857143,3953,53.783333,-7.4166665,sequences,1550,400,975,1150,1000,2
COUN000821|3953,We,0.285714286,3953,53.783333,-7.4166665,sequences,1550,400,975,1150,1000,2
COUN000821|3953,Wo,0.142857143,3953,53.783333,-7.4166665,sequences,1550,400,975,1150,1000,2
COUN000821|3954,Ca,0.2,3954,53.783333,-7.4166665,sequences,1550,400,975,1150,1000,2
COUN000821|3954,Du,0.4,3954,53.783333,-7.4166665,sequences,1550,400,975,1150,1000,2
COUN000821|3954,Ge,0.4,3954,53.783333,-7.4166665,sequences,1550,400,975,1150,1000,2
COUN000821|3954,Pa,0.6,3954,53.783333,-7.4166665,sequences,1550,400,975,1150,1000,2
COUN000821|3954,Wo,0.2,3954,53.783333,-7.4166665,sequences,1550,400,975,1150,1000,2
COUN000821|3955,Ca,0.4,3955,53.783333,-7.4166665,sequences,914,709,811.5,205,1000,2
COUN000821|3955,Du,0.6,3955,53.783333,-7.4166665,sequences,914,709,811.5,205,1000,2
COUN000821|3955,Ge,0.2,3955,53.783333,-7.4166665,sequences,914,709,811.5,205,1000,2
COUN000821|3955,Me,0.2,3955,53.783333,-7.4166665,sequences,914,709,811.5,205,1000,2
COUN000821|3955,Pa,0.4,3955,53.783333,-7.4166665,sequences,914,709,811.5,205,1000,2
COUN000821|3955,We,0.4,3955,53.783333,-7.4166665,sequences,914,709,811.5,205,1000,2
COUN000821|3956,Du,0.5,3956,53.783333,-7.4166665,sequences,1550,400,975,1150,1000,2
COUN000821|3956,Ge,0.5,3956,53.783333,-7.4166665,sequences,1550,400,975,1150,1000,2
COUN000821|3956,We,0.5,3956,53.783333,-7.4166665,sequences,1550,400,975,1150,1000,2
COUN000821|3957,Aq,0.5,3957,53.783333,-7.4166665,sequences,1057,690,873.5,367,1000,2
COUN000821|3957,Du,0.5,3957,53.783333,-7.4166665,sequences,1057,690,873.5,367,1000,2
COUN000821|3957,Ge,0.5,3957,53.783333,-7.4166665,sequences,1057,690,873.5,367,1000,2
COUN000821|3957,We,0.5,3957,53.783333,-7.4166665,sequences,1057,690,873.5,367,1000,2
COUN000821|3960,Du,0.5,3960,53.783333,-7.4166665,sequences,1550,400,975,1150,1000,2
COUN000821|3960,He,0.25,3960,53.783333,-7.4166665,sequences,1550,400,975,1150,1000,2
COUN000821|3960,Me,0.5,3960,53.783333,-7.4166665,sequences,1550,400,975,1150,1000,2
COUN000821|3960,Pa,0.5,3960,53.783333,-7.4166665,sequences,1550,400,975,1150,1000,2
COUN000892|4369,Dr,0.333333333,4369,53.956665,-1.0916667,sequences,1550,400,975,1150,1000,2
COUN000892|4369,He,0.333333333,4369,53.956665,-1.0916667,sequences,1550,400,975,1150,1000,2
COUN000892|4369,IDe,0.333333333,4369,53.956665,-1.0916667,sequences,1550,400,975,1150,1000,2
COUN000892|4369,Me,0.333333333,4369,53.956665,-1.0916667,sequences,1550,400,975,1150,1000,2
COUN000892|4369,Wo,0.666666667,4369,53.956665,-1.0916667,sequences,1550,400,975,1150,1000,2
COUN001059|4847,Aq,0.4,4847,59.33621,17.545465,sequences,1550,400,975,1150,1000,2
COUN001059|4847,Du,0.2,4847,59.33621,17.545465,sequences,1550,400,975,1150,1000,2
COUN001059|4847,IDu,0.2,4847,59.33621,17.545465,sequences,1550,400,975,1150,1000,2
COUN001059|4847,IRu,0.4,4847,59.33621,17.545465,sequences,1550,400,975,1150,1000,2
COUN001059|4847,Pa,0.4,4847,59.33621,17.545465,sequences,1550,400,975,1150,1000,2
COUN001059|4847,We,0.2,4847,59.33621,17.545465,sequences,1550,400,975,1150,1000,2
COUN001059|4848,Aq,0.176470588,4848,59.33621,17.545465,sequences,1550,400,975,1150,1000,2
COUN001059|4848,Ca,0.176470588,4848,59.33621,17.545465,sequences,1550,400,975,1150,1000,2
COUN001059|4848,Di,0.058823529,4848,59.33621,17.545465,sequences,1550,400,975,1150,1000,2
COUN001059|4848,Du,0.176470588,4848,59.33621,17.545465,sequences,1550,400,975,1150,1000,2
COUN001059|4848,Ge,0.176470588,4848,59.33621,17.545465,sequences,1550,400,975,1150,1000,2
